,id,id2,latitude,longitude
460,3023129,SAMEA2621076,None,None
461,3023122,SAMEA2621020,None,None
462,3067641,SAMEA2620542,None,None
463,3067638,SAMEA2620259,None,None
464,3067633,SAMEA2620081,None,None
465,3067631,SAMEA2620021,None,None
466,3067629,SAMEA2619970,None,None
467,3067628,SAMEA2619952,None,None
468,3067623,SAMEA2619840,None,None
469,3067621,SAMEA2619802,None,None
470,3023076,SAMEA2619531,None,None
471,3023143,SAMEA2621242,None,None
472,3067713,SAMEA2622923,None,None
473,3067667,SAMEA2621232,None,None
474,3067675,SAMEA2621536,None,None
475,3023118,SAMEA2620979,None,None
476,3023125,SAMEA2621044,None,None
477,2954311,SAMN02954311,None,None
478,3023152,SAMEA2622331,None,None
479,3023153,SAMEA2622357,None,None
480,2928094,SAMEA2591098,None,None
481,3067674,SAMEA2621509,None,None
482,3023160,SAMEA2622694,None,None
483,2954307,SAMN02954307,22.75,-158.0
484,121,SAMN00000121,None,None
485,123,SAMN00000123,None,None
486,124,SAMN00000124,None,None
487,125,SAMN00000125,32.167,-64.50
488,126,SAMN00000126,6.38566685,-162.3347778
489,127,SAMN00000127,6.38566685,-162.3347778
490,128,SAMN00000128,1.99231672,-157.4840698
491,129,SAMN00000129,1.99231672,-157.4840698
492,135,SAMN00000135,5.86683321,-162.12796021
493,136,SAMN00000136,5.86683321,-162.12796021
494,137,SAMN00000137,3.82594991,-159.34956360
495,138,SAMN00000138,3.82594991,-159.34956360
496,302,SAMN00000302,None,None
497,2954309,SAMN02954309,-64.767,-64.067
498,2954308,SAMN02954308,-64.767,-64.067
499,2954345,SAMN02954345,None,None
500,12604809,SAMN12604809,None,None
501,12280063,SAMN12280063,33.55,-118.4
502,12238535,SAMN12238535,31.418,-81.293
503,8408021,SAMN08408021,None,None
504,8408023,SAMN08408023,None,None
505,8408022,SAMN08408022,None,None
506,8408024,SAMN08408024,None,None
507,11192286,SAMN11192286,None,None
508,11099005,SAMEA5211967,None,None
509,11099003,SAMEA5211965,None,None
510,11099004,SAMEA5211966,None,None
511,11099006,SAMEA5211968,None,None
512,6449223,SAMEA98138668,87.77201667,-148.8943333
513,6266255,SAMN06266255,46.2000,-123.9400
514,6265058,SAMN06265058,46.2000,-123.9400
515,6449290,SAMEA98170918,72.7999,-159.6157
516,6449227,SAMEA98159668,72.9989,-158.8455
517,6449270,SAMEA98169418,72.7978,-159.6242
518,6449287,SAMEA98170168,72.7999,-159.6157
519,6449297,SAMEA98163418,72.9989,-158.8455
520,6449264,SAMEA98167918,72.7978,-159.6242
521,6449226,SAMEA98167168,72.7978,-159.6242
522,6449266,SAMEA98168668,72.7978,-159.6242
523,6449127,SAMEA98164168,72.9989,-158.8455
524,6449257,SAMEA98158168,78.1739,-147.8331
525,6449268,SAMEA98160418,72.9989,-158.8455
526,6449256,SAMEA98149918,85.16033333,-149.9722667
527,6449294,SAMEA98162668,72.9989,-158.8455
528,6449261,SAMEA98158918,72.9989,-158.8455
529,6449291,SAMEA98161918,72.9989,-158.8455
530,6449299,SAMEA98155918,89.99033333,-89.2525
531,6449128,SAMEA98156668,85.723,-150.6090833
532,6449295,SAMEA98155168,89.99033333,-89.2525
533,6449230,SAMEA98157418,85.16033333,-149.9722667
534,6449260,SAMEA98150668,85.16033333,-149.9722667
535,6449263,SAMEA98151418,82.50385,-149.7905
536,6449292,SAMEA98154418,89.99033333,-89.2525
537,6449289,SAMEA98153668,71.9966,-162.496
538,6449132,SAMEA98148418,85.723,-150.6090833
539,6449272,SAMEA98152918,77.4476,-147.8711
540,6449225,SAMEA98149168,85.16033333,-149.9722667
541,6449229,SAMEA98147668,85.723,-150.6090833
542,6449228,SAMEA98146918,85.723,-150.6090833
543,6449296,SAMEA98146168,85.723,-150.6090833
544,6449293,SAMEA98145418,85.723,-150.6090833
545,6449265,SAMEA98142418,87.77201667,-148.8943333
546,6449271,SAMEA98143918,87.77201667,-148.8943333
547,6449288,SAMEA98144668,87.77201667,-148.8943333
548,6449269,SAMEA98143168,87.77201667,-148.8943333
549,6449262,SAMEA98141668,87.77201667,-148.8943333
